"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_post_saves_board_id_to_env","tests.component","Wed May 13 07:24:52 UTC 2026","passed","Wed May 13 07:24:52 UTC 2026","TestPostConfig","test_server_config","",""
"","0","test_get_story_points_numeric_float","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_metrics","",""
"","1","test_file_created","tests.component","Wed May 13 07:24:19 UTC 2026","passed","Wed May 13 07:24:19 UTC 2026","","test_report_md","",""
"","2","test_board_id_non_numeric","tests.unit","Wed May 13 07:24:14 UTC 2026","passed","Wed May 13 07:24:14 UTC 2026","","test_config","",""
"POST then GET should reflect saved values (token masked).","2","test_round_trip_url_email_token","tests.component","Wed May 13 07:24:50 UTC 2026","passed","Wed May 13 07:24:50 UTC 2026","TestPostConfig","test_server_config","",""
"_handle_cert_status returns exists=True plus error key when validate_cert fails.","8","test_handle_cert_status_returns_error_key_when_cert_unreadable","tests.unit","Wed May 13 07:24:17 UTC 2026","passed","Wed May 13 07:24:17 UTC 2026","","test_server_handlers","",""
"When JIRA_API_TOKEN is saved on the server ('***') and the user leaves the token field
    empty, Test Connection proceeds (hasServerToken=true bypasses the empty-token guard) and
    Save POSTs '***' as JIRA_API_TOKEN — signaling the server to keep the existing stored token.
    ","364","test_save_with_server_token_sends_star_token[chromium]","tests.e2e","Wed May 13 07:26:53 UTC 2026","passed","Wed May 13 07:26:53 UTC 2026","","test_e2e_connection","",""
"","0","test_timestamp_folder_name_empty_string","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_main_helpers","",""
"Generate tab shows metric toggle checkboxes, all checked by default (RG-MT-001).","235","test_metric_toggle_checkboxes_visible[chromium]","tests.e2e","Wed May 13 07:27:25 UTC 2026","passed","Wed May 13 07:27:25 UTC 2026","","test_e2e_ui","",""
"Save is disabled even when fields are pre-populated from server — Test Connection not yet run.","192","test_save_button_disabled_on_load_even_with_prefilled_config[chromium]","tests.e2e","Wed May 13 07:26:45 UTC 2026","passed","Wed May 13 07:26:45 UTC 2026","","test_e2e_connection","",""
"","0","test_title_present","tests.component","Wed May 13 07:24:19 UTC 2026","passed","Wed May 13 07:24:19 UTC 2026","","test_report_md","",""
"","1","test_creates_normalized_dir_if_missing","tests.unit","Wed May 13 07:24:15 UTC 2026","passed","Wed May 13 07:24:15 UTC 2026","","test_dau_normalizer","",""
"POST with empty schema dict returns 400 about schema_name.","7","test_post_schema_requires_schema_name","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_server_handlers","",""
"","1","test_log_file_format","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_logging_setup","",""
"","8","test_delete_schema_removes_existing_file","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_server_handlers","",""
"A username stored in localStorage is pre-filled in the input on load.","51","test_username_restored_from_localstorage_on_page_load[chromium]","tests.e2e","Wed May 13 07:26:41 UTC 2026","passed","Wed May 13 07:26:41 UTC 2026","","test_dau_survey_ui","",""
"If ssl.enum_certificates raises, _get_windows_ca_certs returns [] (never raises).","0","test_get_windows_ca_certs_returns_empty_on_enum_certificates_error","tests.unit","Wed May 13 07:24:14 UTC 2026","passed","Wed May 13 07:24:14 UTC 2026","","test_cert_handlers","",""
"","0","test_sprint_issue_details_empty_sprint","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_metrics","",""
"","2","test_fetch_cert_happy_path","tests.integration","Wed May 13 07:24:12 UTC 2026","passed","Wed May 13 07:24:12 UTC 2026","","test_fetch_ssl_cert","",""
"Active sprint must be index 0 so the template's .reverse() places it rightmost in charts.","0","test_get_sprints_active_sprint_comes_first","tests.unit","Wed May 13 07:24:15 UTC 2026","passed","Wed May 13 07:24:15 UTC 2026","","test_jira_client","",""
"Arbitrary keys in .env must not leak through GET /api/config.","1","test_only_whitelisted_keys_returned","tests.component","Wed May 13 07:24:55 UTC 2026","passed","Wed May 13 07:24:55 UTC 2026","TestGetConfigExtended","test_server_config","",""
"","1","test_main_clean_removes_reports","tests.integration","Wed May 13 07:24:13 UTC 2026","passed","Wed May 13 07:24:13 UTC 2026","","test_integration","",""
"","0","test_timestamp_folder_name_valid_iso","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_main_helpers","",""
"_handle_post_filter() appends a new entry and returns updated=False.","8","test_post_filter_creates_new_entry","tests.unit","Wed May 13 07:24:15 UTC 2026","passed","Wed May 13 07:24:15 UTC 2026","","test_filter_handlers","",""
"","0","test_get_story_points_non_numeric_string","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_metrics","",""
"","1","test_dedup_different_users_same_week_both_kept","tests.unit","Wed May 13 07:24:15 UTC 2026","passed","Wed May 13 07:24:15 UTC 2026","","test_dau_normalizer","",""
"Clicking Save sends the correct JIRA_URL, JIRA_EMAIL, JIRA_API_TOKEN to POST /api/config.","406","test_save_posts_correct_payload[chromium]","tests.e2e","Wed May 13 07:26:51 UTC 2026","passed","Wed May 13 07:26:52 UTC 2026","","test_e2e_connection","",""
"","0","test_ai_trend_no_ai_label","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_metrics","",""
"","2","test_filter_id_empty","tests.unit","Wed May 13 07:24:14 UTC 2026","passed","Wed May 13 07:24:14 UTC 2026","","test_config","",""
"","0","test_get_issues_for_sprint_single_page","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_jira_client","",""
"_serve_file must suppress all _CLIENT_DISCONNECT exceptions during write.","8","test_serve_file_catches_client_disconnect[ConnectionResetError]","tests.unit","Wed May 13 07:24:17 UTC 2026","passed","Wed May 13 07:24:17 UTC 2026","","test_server_handlers","",""
"","0","test_load_dau_records_empty_dir","tests.unit","Wed May 13 07:24:15 UTC 2026","passed","Wed May 13 07:24:15 UTC 2026","","test_dau_metrics","",""
"POST every supported field, then GET and verify each one.

        AI labels are intentionally excluded — they live per-filter in
        config/jira_filters.json, not in the global config endpoint.
        ","2","test_round_trip_all_fields","tests.component","Wed May 13 07:24:53 UTC 2026","passed","Wed May 13 07:24:53 UTC 2026","TestPostConfig","test_server_config","",""
"Fetch Certificate button shows 'Refresh Certificate' text when a valid cert exists.","191","test_fetch_cert_button_label_is_refresh_when_cert_valid[chromium]","tests.e2e","Wed May 13 07:26:58 UTC 2026","passed","Wed May 13 07:26:58 UTC 2026","","test_e2e_connection","",""
"2026-04-05 (Sunday) is still in 2026-W14.","1","test_derive_iso_week_sunday","tests.unit","Wed May 13 07:24:15 UTC 2026","passed","Wed May 13 07:24:15 UTC 2026","","test_dau_normalizer","",""
"","30","test_date_present","tests.component","Wed May 13 07:24:18 UTC 2026","passed","Wed May 13 07:24:18 UTC 2026","","test_report_html","",""
"A Windows-style DAU_PATH ('data\dau\foo') is stored with forward slashes.","8","test_post_filter_normalises_backslashes_in_dau_path","tests.unit","Wed May 13 07:24:15 UTC 2026","passed","Wed May 13 07:24:15 UTC 2026","","test_filter_handlers","",""
"","0","test_success_level_value","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_logging_setup","",""
"_build_jql_from_params() produces correct JQL clauses for each param combination.","8","test_build_jql_from_params[params2-""Team[Team]"" = T1-None]","tests.unit","Wed May 13 07:24:15 UTC 2026","passed","Wed May 13 07:24:15 UTC 2026","","test_filter_handlers","",""
"","0","test_build_metrics_dict_sprint_issue_details_issue_shape","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_metrics","",""
"Same (username, week) in two different subdirs both survive — dedup is per-directory.","2","test_dedup_per_directory_independent","tests.unit","Wed May 13 07:24:15 UTC 2026","passed","Wed May 13 07:24:15 UTC 2026","","test_dau_normalizer","",""
"","30","test_empty_velocity_shows_no_data_message","tests.component","Wed May 13 07:24:18 UTC 2026","passed","Wed May 13 07:24:18 UTC 2026","","test_report_html","",""
"","0","test_md_report_ai_assistance_shows_pct","tests.component","Wed May 13 07:24:19 UTC 2026","passed","Wed May 13 07:24:19 UTC 2026","","test_report_md","",""
"","231","test_test_connection_http_error","tests.component","Wed May 13 07:24:24 UTC 2026","passed","Wed May 13 07:24:24 UTC 2026","","test_server","",""
"","1","test_build_metrics_dict_keys","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_metrics","",""
"'Settings saved' flash appears after clicking Save.","426","test_save_shows_flash_confirmation[chromium]","tests.e2e","Wed May 13 07:26:52 UTC 2026","passed","Wed May 13 07:26:52 UTC 2026","","test_e2e_connection","",""
"","2","test_validate_config_all_set","tests.unit","Wed May 13 07:24:14 UTC 2026","passed","Wed May 13 07:24:14 UTC 2026","","test_config","",""
"Posting the same name twice updates the existing entry; only one user filter exists.","3","test_post_filter_upserts_on_duplicate_name","tests.component","Wed May 13 07:24:58 UTC 2026","passed","Wed May 13 07:24:58 UTC 2026","","test_server_filters","",""
"","1","test_token_always_masked_as_stars","tests.component","Wed May 13 07:24:41 UTC 2026","passed","Wed May 13 07:24:41 UTC 2026","TestGetConfig","test_server_config","",""
"","2","test_filter_id_numeric","tests.unit","Wed May 13 07:24:14 UTC 2026","passed","Wed May 13 07:24:14 UTC 2026","","test_config","",""
"","0","test_get_story_points_missing_field","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_metrics","",""
"","0","test_md_report_sprint_issues_absent_when_no_data","tests.component","Wed May 13 07:24:19 UTC 2026","passed","Wed May 13 07:24:19 UTC 2026","","test_report_md","",""
"T-14: all sections ON — velocity plain, AI trend %, pie %, DAU trend %.","30","test_t14_all_sections_correct_pct_labels","tests.component","Wed May 13 07:24:17 UTC 2026","passed","Wed May 13 07:24:17 UTC 2026","","test_cross_section_chart_labels","",""
"","1","test_ai_trend_fallback_no_labels_yields_zero","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_metrics","",""
"","8","test_slugify_returns_safe_filename[  Team Schema v2  -team_schema_v2]","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_server_handlers","",""
"","1","test_setup_logging_log_filename_matches_pattern","tests.unit","Wed May 13 07:24:16 UTC 2026","passed","Wed May 13 07:24:16 UTC 2026","","test_logging_setup","",""
"DELETE /api/filters/<slug> removes the entry; subsequent GET does not include it.","4","test_delete_filter_removes_entry","tests.component","Wed May 13 07:24:58 UTC 2026","passed","Wed May 13 07:24:58 UTC 2026","","test_server_filters","",""
"Save button stays disabled when Test Connection returns an error.","364","test_save_remains_disabled_after_failed_test_connection[chromium]","tests.e2e","Wed May 13 07:26:49 UTC 2026","passed","Wed May 13 07:26:49 UTC 2026","","test_e2e_connection","",""
"T-08: usagePieLabels must not corrupt DAU trend, and DAU trend must not corrupt pies.","31","test_t08_ai_usage_plus_dau_trend","tests.component","Wed May 13 07:24:17 UTC 2026","passed","Wed May 13 07:24:17 UTC 2026","","test_cross_section_chart_labels","",""
