"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","test_estimation_type_shown_in_header","tests.component","Thu May 07 10:31:29 UTC 2026","passed","Thu May 07 10:31:29 UTC 2026","","test_report_html","",""
"A record that already has 'week' keeps it unchanged.","0","test_load_dau_records_preserves_existing_week","tests.unit","Thu May 07 10:31:33 UTC 2026","passed","Thu May 07 10:31:33 UTC 2026","","test_dau_metrics","",""
"_build_jql_from_params() produces correct JQL clauses for each param combination.","8","test_build_jql_from_params[params2-""Team[Team]"" = T1-None]","tests.unit","Thu May 07 10:31:33 UTC 2026","passed","Thu May 07 10:31:33 UTC 2026","","test_filter_handlers","",""
"POST with empty schema dict returns 400 about schema_name.","8","test_post_schema_requires_schema_name","tests.unit","Thu May 07 10:31:34 UTC 2026","passed","Thu May 07 10:31:34 UTC 2026","","test_server_handlers","",""
"","28","test_chart_script_absent_when_velocity_empty","tests.component","Thu May 07 10:31:29 UTC 2026","passed","Thu May 07 10:31:29 UTC 2026","","test_report_html","",""
"Empty/None config values must not cause errors.","0","test_sanitise_error_handles_none_config_values","tests.unit","Thu May 07 10:31:33 UTC 2026","passed","Thu May 07 10:31:33 UTC 2026","","test_jira_client","",""
"JFM-P-011: /api/generate?filter=<slug> exports filter.params.schema_name as JIRA_SCHEMA_NAME.

    The filter's schema_name must win over defaults.env values and be visible to main.py.
    ","9","test_generate_exports_filter_schema_name_to_subprocess","tests.unit","Thu May 07 10:31:34 UTC 2026","passed","Thu May 07 10:31:34 UTC 2026","","test_server_handlers","",""
"MC-FMT-002 + MC-FMT-003: when every done issue is AI-assisted, ai_sp == total_sp and ai_pct == 100.0.","0","test_ai_trend_all_done_ai_assisted","tests.unit","Thu May 07 10:31:34 UTC 2026","passed","Thu May 07 10:31:34 UTC 2026","","test_metrics","",""
"","0","test_parse_iso[2026-03-01T10:00:00+00:00-True]","tests.unit","Thu May 07 10:31:34 UTC 2026","passed","Thu May 07 10:31:34 UTC 2026","","test_metrics","",""
"Non-AbortError from showDirectoryPicker silently falls back to download (DAU-F-013).","145","test_fs_api_non_abort_error_falls_back_to_download[chromium]","tests.e2e","Thu May 07 10:31:47 UTC 2026","passed","Thu May 07 10:31:47 UTC 2026","","test_dau_survey_ui","",""
"Custom terminal status name without resolutiondate is not considered done.","0","test_is_done_no_resolutiondate_custom_status","tests.unit","Thu May 07 10:31:34 UTC 2026","passed","Thu May 07 10:31:34 UTC 2026","","test_metrics","",""
"","1","test_get_done_statuses_defaults","tests.unit","Thu May 07 10:31:34 UTC 2026","passed","Thu May 07 10:31:34 UTC 2026","","test_schema","",""
"When closed sprints span multiple pages, the NEWEST sprints are returned, not the oldest.","0","test_get_sprints_returns_newest_when_paginated","tests.unit","Thu May 07 10:31:33 UTC 2026","passed","Thu May 07 10:31:33 UTC 2026","","test_jira_client","",""
"Arbitrary keys in .env must not leak through GET /api/config.","1","test_only_whitelisted_keys_returned","tests.component","Thu May 07 10:32:02 UTC 2026","passed","Thu May 07 10:32:02 UTC 2026","TestGetConfigExtended","test_server_config","",""
"","1","test_is_done_custom_statuses_case_insensitive","tests.unit","Thu May 07 10:31:34 UTC 2026","passed","Thu May 07 10:31:34 UTC 2026","","test_metrics","",""
"","0","test_project_type_shown_in_md_header","tests.component","Thu May 07 10:31:30 UTC 2026","passed","Thu May 07 10:31:30 UTC 2026","","test_report_md","",""
"","1","test_uncomments_commented_key","tests.component","Thu May 07 10:31:47 UTC 2026","passed","Thu May 07 10:31:47 UTC 2026","TestWriteEnvFields","test_server_config","",""
"","1","test_board_id_absent_when_not_set","tests.component","Thu May 07 10:32:02 UTC 2026","passed","Thu May 07 10:32:02 UTC 2026","TestGetConfigExtended","test_server_config","",""
"The Jira URL label has a visible red asterisk marking it as required.","215","test_required_star_visible_on_jira_url_label[chromium]","tests.e2e","Thu May 07 10:31:49 UTC 2026","passed","Thu May 07 10:31:49 UTC 2026","","test_e2e_connection","",""
"MC-FMT-004: action pct can exceed 100% when an issue carries multiple action labels.","0","test_ai_usage_details_action_breakdown_pct","tests.unit","Thu May 07 10:31:34 UTC 2026","passed","Thu May 07 10:31:34 UTC 2026","","test_metrics","",""
"Full positive E2E: Fetch Certificate → badge transitions from 'No certificate' to 'Valid'.

    Steps: load with no cert → badge neutral → fill URL → click Fetch Certificate
    → /api/fetch-cert returns ok=true → /api/cert-status re-polled → badge shows 'Valid'.
    Covers JCR-SSL-006.
    ","361","test_positive_e2e_fetch_cert_then_badge_shows_valid[chromium]","tests.e2e","Thu May 07 10:32:06 UTC 2026","passed","Thu May 07 10:32:06 UTC 2026","","test_e2e_connection","",""
"","0","test_save_schema_creates_file","tests.unit","Thu May 07 10:31:34 UTC 2026","passed","Thu May 07 10:31:34 UTC 2026","","test_schema","",""
"MC-FMT-002: ai_sp and total_sp are plain story-point sums, not normalised to 0-100.","0","test_compute_ai_trend_basic","tests.unit","Thu May 07 10:31:34 UTC 2026","passed","Thu May 07 10:31:34 UTC 2026","","test_metrics","",""
"","0","test_ai_trend_row_has_required_keys","tests.component","Thu May 07 10:31:28 UTC 2026","passed","Thu May 07 10:31:28 UTC 2026","","test_contracts","",""
"","0","test_get_labels_normal","tests.unit","Thu May 07 10:31:34 UTC 2026","passed","Thu May 07 10:31:34 UTC 2026","","test_metrics","",""
"","2","test_jira_filter_jql_from_env","tests.unit","Thu May 07 10:31:33 UTC 2026","passed","Thu May 07 10:31:33 UTC 2026","","test_config","",""
"Unknown keys in the POST body must not be written to .env.","1","test_post_config_ignores_unknown_keys","tests.component","Thu May 07 10:32:00 UTC 2026","passed","Thu May 07 10:32:00 UTC 2026","TestPostConfig","test_server_config","",""
"On page load with an empty filter-name field, the input is set to Default_Jira_Filter_<YYYY-MM-DD>.","270","test_filter_name_prepopulated_on_empty_load[chromium]","tests.e2e","Thu May 07 10:32:06 UTC 2026","passed","Thu May 07 10:32:06 UTC 2026","","test_e2e_filters","",""
"","29","test_ai_assistance_chart_canvas_present","tests.component","Thu May 07 10:31:29 UTC 2026","passed","Thu May 07 10:31:29 UTC 2026","","test_report_html","",""
"An explicit DAU_NORMALIZED_DIR wins over the value derived from DAU_PATH.","1","test_dau_normalized_dir_env_overrides_dau_path","tests.unit","Thu May 07 10:31:33 UTC 2026","passed","Thu May 07 10:31:33 UTC 2026","","test_config","",""
