"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Confirmation table reflects the exact username and role that were submitted.","140","test_confirmation_displays_submitted_data[chromium]","tests.e2e","Wed May 20 22:05:57 UTC 2026","passed","Wed May 20 22:05:57 UTC 2026","","test_dau_survey_ui","",""
"Loading a filter with sprint config params populates all three sprint-related fields.","161","test_selecting_filter_loads_sprint_name_filter_active_sprint_and_count_cap[chromium]","tests.e2e","Wed May 20 22:06:20 UTC 2026","passed","Wed May 20 22:06:20 UTC 2026","","test_e2e_filters","",""
"Test Connection with empty fields shows error in badge.","194","test_test_connection_missing_fields[chromium]","tests.e2e","Wed May 20 22:06:25 UTC 2026","passed","Wed May 20 22:06:26 UTC 2026","","test_e2e_ui","",""
"Changing the Schema Setup dropdown must not affect the Filter Builder's Active Schema.","202","test_schema_setup_does_not_set_active_schema_for_filter[chromium]","tests.e2e","Wed May 20 22:06:22 UTC 2026","passed","Wed May 20 22:06:22 UTC 2026","","test_e2e_schema_ui","",""
"Clicking submit replaces the form with the confirmation screen.","142","test_submit_hides_form_and_shows_confirmation[chromium]","tests.e2e","Wed May 20 22:05:57 UTC 2026","passed","Wed May 20 22:05:57 UTC 2026","","test_dau_survey_ui","",""
"Clicking Connection tab shows its panel and hides others.","172","test_click_connection_tab[chromium]","tests.e2e","Wed May 20 22:06:23 UTC 2026","passed","Wed May 20 22:06:23 UTC 2026","","test_e2e_ui","",""
"Run tools/fetch_ssl_cert.py as a subprocess with no JIRA_URL -> should exit 1.","73","test_fetch_cert_subprocess_smoke","tests.integration","Wed May 20 22:05:28 UTC 2026","passed","Wed May 20 22:05:28 UTC 2026","","test_fetch_ssl_cert","",""
"Clicking Test Connection with empty fields shows validation errors via badge.","200","test_validation_error_empty_fields[chromium]","tests.e2e","Wed May 20 22:06:24 UTC 2026","passed","Wed May 20 22:06:25 UTC 2026","","test_e2e_ui","",""
"Page loads with correct title and heading.","112","test_page_loads_with_title[chromium]","tests.e2e","Wed May 20 22:06:23 UTC 2026","passed","Wed May 20 22:06:23 UTC 2026","","test_e2e_ui","",""
"","2","test_fetch_cert_happy_path","tests.integration","Wed May 20 22:05:28 UTC 2026","passed","Wed May 20 22:05:28 UTC 2026","","test_fetch_ssl_cert","",""
"'New Schema' → edit → Save persists and the new name appears in the dropdown.","253","test_schema_save_round_trip[chromium]","tests.e2e","Wed May 20 22:06:21 UTC 2026","passed","Wed May 20 22:06:21 UTC 2026","","test_e2e_schema_ui","",""
