"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"182","","0","","572","0","","0"
"1","","0","End-to-End User Journey","0","0","Positive flow: from app launch to report generation","0"
