"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","","776","0","","0"
"0","","0","End-to-End User Journey","1","0","Positive flow: from app launch to report generation","0"
