"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","623","118","","0"
"0","","0","End-to-End User Journey","0","1","Positive flow: from app launch to report generation","0"
