"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"T-09: aiPointLabels must not corrupt DAU trend labels.","30","test_t09_ai_trend_plus_dau_trend","tests.component","Tue May 19 17:56:44 UTC 2026","passed","Tue May 19 17:56:44 UTC 2026","","test_cross_section_chart_labels","",""
"Updating one credential must leave others byte-identical.","1","test_partial_update_preserves_untouched_key","tests.component","Tue May 19 17:57:07 UTC 2026","passed","Tue May 19 17:57:07 UTC 2026","TestWriteEnvFields","test_server_config","",""
"","29","test_sprint_name_present","tests.component","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_report_html","",""
"","0","test_date_present","tests.component","Tue May 19 17:56:46 UTC 2026","passed","Tue May 19 17:56:46 UTC 2026","","test_report_md","",""
"","1","test_main_returns_1_when_fetch_sprint_data_fails","tests.unit","Tue May 19 17:56:44 UTC 2026","passed","Tue May 19 17:56:44 UTC 2026","","test_cli","",""
"","0","test_is_done[done-True]","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_metrics","",""
"","1","test_md_report_ai_usage_section_present","tests.component","Tue May 19 17:56:46 UTC 2026","passed","Tue May 19 17:56:46 UTC 2026","","test_report_md","",""
"MC-FMT-003: ai_pct = (ai_sp / total_sp) * 100, rounded to 1 dp.","0","test_ai_trend_basic_percentage","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_metrics","",""
"MC-FMT-004: tool pct = count / ai_assisted_issue_count * 100.","0","test_ai_usage_details_tool_breakdown_pct","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_metrics","",""
"","0","test_creates_env_from_scratch_when_both_absent","tests.component","Tue May 19 17:57:07 UTC 2026","passed","Tue May 19 17:57:07 UTC 2026","TestWriteEnvFields","test_server_config","",""
"Full positive E2E: Fetch Certificate → badge transitions from 'No certificate' to 'Valid'.

    Steps: load with no cert → badge neutral → fill URL → click Fetch Certificate
    → /api/fetch-cert returns ok=true → /api/cert-status re-polled → badge shows 'Valid'.
    Covers JCR-SSL-006.
    ","0","test_positive_e2e_fetch_cert_then_badge_shows_valid[chromium]","tests.e2e","Tue May 19 17:56:58 UTC 2026","skipped","Tue May 19 17:56:58 UTC 2026","","test_e2e_connection","",""
"","1","test_delete_schema_not_found","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_schema","",""
"","29","test_estimation_type_shown_in_header","tests.component","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_report_html","",""
"A token value that contains '=' characters must be stored verbatim.","0","test_token_with_equals_in_value","tests.component","Tue May 19 17:57:07 UTC 2026","passed","Tue May 19 17:57:07 UTC 2026","TestWriteEnvFields","test_server_config","",""
"","30","test_html_dau_section_hidden_when_visibility_false","tests.component","Tue May 19 17:56:44 UTC 2026","passed","Tue May 19 17:56:44 UTC 2026","","test_dau_report","",""
"MC-FMT-005: mean_days, median_days, min_days, max_days are plain day floats.","1","test_cycle_time_fields_are_absolute_days","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_metrics","",""
"MC-FMT-102: velocity table cells show plain numbers; 20.0% must not appear.","30","test_velocity_table_values_have_no_percent_suffix","tests.component","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_report_html","",""
"","1","test_log_file_format","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_logging_setup","",""
"","0","test_ai_usage_tool_breakdown","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_metrics","",""
"","0","test_sprint_issue_details_basic_shape","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_metrics","",""
"","1","test_velocity_section_hidden_when_section_visibility_false","tests.component","Tue May 19 17:56:46 UTC 2026","passed","Tue May 19 17:56:46 UTC 2026","","test_report_md","",""
"","0","test_timestamp_folder_name_empty_string","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_main_helpers","",""
"After submit the mocked FS receives valid JSON with all required fields.","0","test_submit_writes_valid_json_to_mocked_fs[chromium]","tests.e2e","Tue May 19 17:56:58 UTC 2026","skipped","Tue May 19 17:56:58 UTC 2026","","test_dau_survey_ui","",""
"","0","test_app_error_is_exception","tests.unit","Tue May 19 17:56:44 UTC 2026","passed","Tue May 19 17:56:44 UTC 2026","","test_exceptions","",""
"","1","test_build_metrics_dict_keys","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_metrics","",""
"LOG_LEVEL env var (set in config/defaults.env or .env) overrides the default.","0","test_setup_logging_level_configurable_via_env[INFO-20]","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_logging_setup","",""
"","0","test_get_sprints_includes_active_when_closed_only_false","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_jira_client","",""
"","0","test_success_level_message_written_to_file","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_logging_setup","",""
"","0","test_md_report_ai_assistance_hidden_when_toggled_off","tests.component","Tue May 19 17:56:46 UTC 2026","passed","Tue May 19 17:56:46 UTC 2026","","test_report_md","",""
"jira_client returns sprints newest-first; dedup must still attribute to the most recent sprint.","0","test_dedup_newest_first_input_still_keeps_issue_in_most_recent","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_metrics","",""
"Entries written by _save_filters() are returned by a fresh _load_filters() call.","14","test_filter_data_persists_across_loads","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_filter_handlers","",""
"JFM-P-011: /api/generate?filter=<slug> exports filter.params.schema_name as JIRA_SCHEMA_NAME.

    The filter's schema_name must win over defaults.env values and be visible to main.py.
    ","7","test_generate_exports_filter_schema_name_to_subprocess","tests.unit","Tue May 19 17:56:46 UTC 2026","passed","Tue May 19 17:56:46 UTC 2026","","test_server_handlers","",""
"","1","test_overwrites_existing_env_fields","tests.component","Tue May 19 17:57:12 UTC 2026","passed","Tue May 19 17:57:12 UTC 2026","TestPostConfig","test_server_config","",""
"Saved filename follows dau_<username>_<timestamp>.json pattern (DAU-F-014).","0","test_filename_matches_dau_username_timestamp_pattern[chromium]","tests.e2e","Tue May 19 17:56:58 UTC 2026","skipped","Tue May 19 17:56:58 UTC 2026","","test_dau_survey_ui","",""
"Only fields present in the server config are filled; absent fields remain empty.","0","test_partial_config_populates_only_present_fields[chromium]","tests.e2e","Tue May 19 17:56:58 UTC 2026","skipped","Tue May 19 17:56:58 UTC 2026","","test_e2e_connection","",""
"Eye button toggles token input between password and text.","0","test_token_show_hide_toggle[chromium]","tests.e2e","Tue May 19 17:56:58 UTC 2026","skipped","Tue May 19 17:56:58 UTC 2026","","test_e2e_ui","",""
"Only done_statuses in board_statuses; in_progress falls back to default.","0","test_build_schema_from_fields_partial_board_statuses_only_done","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_schema","",""
"","2","test_env_bool_values[YES-True]","tests.unit","Tue May 19 17:56:44 UTC 2026","passed","Tue May 19 17:56:44 UTC 2026","","test_config","",""
"POST where fields is not an object returns 400.","1","test_post_schema_rejects_non_dict_fields","tests.component","Tue May 19 17:57:02 UTC 2026","passed","Tue May 19 17:57:02 UTC 2026","","test_server","",""
"","1","test_project_type_default_scrum","tests.unit","Tue May 19 17:56:44 UTC 2026","passed","Tue May 19 17:56:44 UTC 2026","","test_config","",""
"_serve_file must suppress all _CLIENT_DISCONNECT exceptions during write.","7","test_serve_file_catches_client_disconnect[BrokenPipeError]","tests.unit","Tue May 19 17:56:46 UTC 2026","passed","Tue May 19 17:56:46 UTC 2026","","test_server_handlers","",""
"","30","test_html_dau_section_absent_when_no_responses","tests.component","Tue May 19 17:56:44 UTC 2026","passed","Tue May 19 17:56:44 UTC 2026","","test_dau_report","",""
"","1","test_malformed_json_skipped_no_exception","tests.unit","Tue May 19 17:56:44 UTC 2026","passed","Tue May 19 17:56:44 UTC 2026","","test_dau_normalizer","",""
"","0","test_dedup_different_weeks_kept_separate","tests.unit","Tue May 19 17:56:44 UTC 2026","passed","Tue May 19 17:56:44 UTC 2026","","test_dau_metrics","",""
"Saving a filter with valid inputs shows JQL and adds to list.","0","test_save_filter_success[chromium]","tests.e2e","Tue May 19 17:56:58 UTC 2026","skipped","Tue May 19 17:56:58 UTC 2026","","test_e2e_ui","",""
"When multiple float fields exist the best-named one is chosen for story_points.","0","test_build_schema_from_fields_disambiguates_float_fields_by_name","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_schema","",""
"A second run replaces previously normalized files.","1","test_stale_normalized_files_cleared_on_rerun","tests.unit","Tue May 19 17:56:44 UTC 2026","passed","Tue May 19 17:56:44 UTC 2026","","test_dau_normalizer","",""
"","0","test_get_labels_missing_fields","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_metrics","",""
"Project type selection persists across page reloads via localStorage (RG-PT-004).","0","test_project_type_persists_in_localstorage[chromium]","tests.e2e","Tue May 19 17:56:58 UTC 2026","skipped","Tue May 19 17:56:58 UTC 2026","","test_e2e_ui","",""
"KANBAN week periods with resolved issues (custom status + resolutiondate) count correctly.","0","test_compute_velocity_kanban_periods","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_metrics","",""
"A non-default user filter list item contains a Remove button.","0","test_user_filter_has_remove_button[chromium]","tests.e2e","Tue May 19 17:56:58 UTC 2026","skipped","Tue May 19 17:56:58 UTC 2026","","test_e2e_filters","",""
"","1","test_setup_logging_log_filename_matches_pattern","tests.unit","Tue May 19 17:56:45 UTC 2026","passed","Tue May 19 17:56:45 UTC 2026","","test_logging_setup","",""
