"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"5.0 + 3.5 + 1.5 = 10.0 / 3 ≈ 3.33","1","test_mixed_scores_correct_avg","tests.unit","Wed May 06 13:19:11 UTC 2026","passed","Wed May 06 13:19:11 UTC 2026","","test_dau_metrics","",""
"Validate the path fix: templates/ should be at project root, not inside app/.","0","test_templates_dir_not_inside_app","tests.component","Wed May 06 13:19:12 UTC 2026","passed","Wed May 06 13:19:12 UTC 2026","","test_report_html","",""
"","0","test_project_type_shown_in_md_header","tests.component","Wed May 06 13:19:12 UTC 2026","passed","Wed May 06 13:19:12 UTC 2026","","test_report_md","",""
"","0","test_build_schema_from_fields_preserves_team_jql_name","tests.unit","Wed May 06 13:19:12 UTC 2026","passed","Wed May 06 13:19:12 UTC 2026","","test_schema","",""
"","0","test_is_done_with_custom_statuses","tests.unit","Wed May 06 13:19:12 UTC 2026","passed","Wed May 06 13:19:12 UTC 2026","","test_metrics","",""
"","2","test_jira_url_empty_string_safe","tests.unit","Wed May 06 13:19:11 UTC 2026","passed","Wed May 06 13:19:11 UTC 2026","","test_config","",""
"'New Schema' → edit → Save persists and the new name appears in the dropdown.","366","test_schema_save_round_trip[chromium]","tests.e2e","Wed May 06 13:20:08 UTC 2026","passed","Wed May 06 13:20:09 UTC 2026","","test_e2e_schema_ui","",""
"","2","test_ai_assisted_label_default","tests.unit","Wed May 06 13:19:11 UTC 2026","passed","Wed May 06 13:19:11 UTC 2026","","test_config","",""
"","0","test_compute_velocity_all_done","tests.unit","Wed May 06 13:19:12 UTC 2026","passed","Wed May 06 13:19:12 UTC 2026","","test_metrics","",""
"","0","test_md_dau_shows_team_avg","tests.component","Wed May 06 13:19:11 UTC 2026","passed","Wed May 06 13:19:11 UTC 2026","","test_dau_report","",""
"_handle_post_filter() succeeds when only JIRA_FILTER_ID is provided (no JIRA_PROJECT).","7","test_post_filter_accepts_filter_id_without_project","tests.unit","Wed May 06 13:19:11 UTC 2026","passed","Wed May 06 13:19:11 UTC 2026","","test_filter_handlers","",""
"","29","test_title_present","tests.component","Wed May 06 13:19:12 UTC 2026","passed","Wed May 06 13:19:12 UTC 2026","","test_report_html","",""
"","1","test_unknown_keys_not_included_in_response","tests.component","Wed May 06 13:19:35 UTC 2026","passed","Wed May 06 13:19:35 UTC 2026","TestGetConfig","test_server_config","",""
"","30","test_filter_name_shown_when_present","tests.component","Wed May 06 13:19:12 UTC 2026","passed","Wed May 06 13:19:12 UTC 2026","","test_report_html","",""
"","1","test_setup_logging_returns_logger_and_path","tests.unit","Wed May 06 13:19:12 UTC 2026","passed","Wed May 06 13:19:12 UTC 2026","","test_logging_setup","",""
"Files not matching dau_*.json should not be read.","0","test_non_dau_files_are_ignored","tests.unit","Wed May 06 13:19:11 UTC 2026","passed","Wed May 06 13:19:11 UTC 2026","","test_dau_metrics","",""
"","2","test_env_bool_values[-True]","tests.unit","Wed May 06 13:19:11 UTC 2026","passed","Wed May 06 13:19:11 UTC 2026","","test_config","",""
"","0","test_get_in_progress_statuses_defaults","tests.unit","Wed May 06 13:19:12 UTC 2026","passed","Wed May 06 13:19:12 UTC 2026","","test_schema","",""
"Start server.py subprocess on an OS-assigned port, poll until ready, GET / → 200.","529","test_server_health_check","tests.integration","Wed May 06 13:19:21 UTC 2026","passed","Wed May 06 13:19:21 UTC 2026","","test_cli_server","",""
"main() must use ThreadPoolExecutor(max_workers=2) for parallel report generation.","2","test_main_generates_reports_in_parallel","tests.unit","Wed May 06 13:19:11 UTC 2026","passed","Wed May 06 13:19:11 UTC 2026","","test_cli","",""
"GET /api/cert-status with a corrupt (non-PEM) cert file returns exists=True and error key.","1","test_cert_status_with_corrupt_cert_returns_error","tests.component","Wed May 06 13:19:22 UTC 2026","passed","Wed May 06 13:19:22 UTC 2026","","test_server","",""
