"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"All three fields are empty when server config returns no values.","235","test_fields_empty_when_config_not_configured[chromium]","tests.e2e","Mon Apr 27 20:10:52 UTC 2026","passed","Mon Apr 27 20:10:52 UTC 2026","","test_e2e_connection","",""
"POST /api/filters with report_name stores it; GET returns the same value.","8","test_post_filter_saves_report_name","tests.unit","Mon Apr 27 20:10:27 UTC 2026","passed","Mon Apr 27 20:10:27 UTC 2026","","test_server_handlers","",""
"","1","test_get_unknown_returns_404","tests.component","Mon Apr 27 20:10:35 UTC 2026","passed","Mon Apr 27 20:10:35 UTC 2026","","test_server","",""
"_build_jql_from_params() produces correct JQL clauses for each param combination.","7","test_build_jql_from_params[params1-project IN (A, B)-None]","tests.unit","Mon Apr 27 20:10:26 UTC 2026","passed","Mon Apr 27 20:10:26 UTC 2026","","test_filter_handlers","",""
"_handle_post_filter() substitutes the schema's team.jql_name in the JQL clause.","7","test_post_filter_uses_schema_team_jql_field","tests.unit","Mon Apr 27 20:10:26 UTC 2026","passed","Mon Apr 27 20:10:26 UTC 2026","","test_filter_handlers","",""
"","0","test_get_story_points_integer_stored_as_int","tests.unit","Mon Apr 27 20:10:27 UTC 2026","passed","Mon Apr 27 20:10:27 UTC 2026","","test_metrics","",""
"Submit button is disabled before any fields are filled.","52","test_submit_button_initially_disabled[chromium]","tests.e2e","Mon Apr 27 20:10:43 UTC 2026","passed","Mon Apr 27 20:10:43 UTC 2026","","test_dau_survey_ui","",""
"","0","test_compute_dau_trend_empty_dir","tests.unit","Mon Apr 27 20:10:26 UTC 2026","passed","Mon Apr 27 20:10:26 UTC 2026","","test_dau_metrics","",""
"","21","test_title_present","tests.component","Mon Apr 27 20:10:33 UTC 2026","passed","Mon Apr 27 20:10:33 UTC 2026","","test_report_html","",""
"Single-character username triggers the 'at least 2 characters' error.","67","test_username_too_short_shows_error[chromium]","tests.e2e","Mon Apr 27 20:10:44 UTC 2026","passed","Mon Apr 27 20:10:44 UTC 2026","","test_dau_survey_ui","",""
"A non-default user filter list item contains a Remove button.","209","test_user_filter_has_remove_button[chromium]","tests.e2e","Mon Apr 27 20:11:11 UTC 2026","passed","Mon Apr 27 20:11:11 UTC 2026","","test_e2e_filters","",""
"","0","test_compact_timestamp_midnight","tests.unit","Mon Apr 27 20:10:26 UTC 2026","passed","Mon Apr 27 20:10:26 UTC 2026","","test_dau_normalizer","",""
"","0","test_setup_logging_creates_log_file","tests.unit","Mon Apr 27 20:10:27 UTC 2026","passed","Mon Apr 27 20:10:27 UTC 2026","","test_logging_setup","",""
"Delete button is disabled when Default_Jira_Cloud is selected.","190","test_schema_delete_button_disabled_for_default[chromium]","tests.e2e","Mon Apr 27 20:11:16 UTC 2026","passed","Mon Apr 27 20:11:17 UTC 2026","","test_e2e_schema_ui","",""
"","1","test_get_schema_found","tests.unit","Mon Apr 27 20:10:27 UTC 2026","passed","Mon Apr 27 20:10:27 UTC 2026","","test_schema","",""
"","4","test_dau_responses_dir_env_var_overrides_default","tests.unit","Mon Apr 27 20:10:26 UTC 2026","passed","Mon Apr 27 20:10:26 UTC 2026","","test_dau_metrics","",""
"","2","test_jira_url_empty_string_safe","tests.unit","Mon Apr 27 20:10:26 UTC 2026","passed","Mon Apr 27 20:10:26 UTC 2026","","test_config","",""
"","0","test_parse_iso[2026-03-01T10:00:00Z-True]","tests.unit","Mon Apr 27 20:10:27 UTC 2026","passed","Mon Apr 27 20:10:27 UTC 2026","","test_metrics","",""
"ArrowDown key moves selection from the first to the second radio card.","68","test_radio_card_keyboard_navigation[chromium]","tests.e2e","Mon Apr 27 20:10:45 UTC 2026","passed","Mon Apr 27 20:10:45 UTC 2026","","test_dau_survey_ui","",""
"","251","test_test_connection_http_error","tests.component","Mon Apr 27 20:10:38 UTC 2026","passed","Mon Apr 27 20:10:38 UTC 2026","","test_server","",""
"Unknown keys in the POST body must not be written to .env.","1","test_post_config_ignores_unknown_keys","tests.component","Mon Apr 27 20:11:05 UTC 2026","passed","Mon Apr 27 20:11:06 UTC 2026","TestPostConfig","test_server_config","",""
