"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"118","","0","","538","0","","0"
"1","","0","End-to-End User Journey","0","0","Positive flow: from app launch to report generation","0"
