"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_date_present","tests.component","Wed May 13 15:56:05 UTC 2026","passed","Wed May 13 15:56:05 UTC 2026","","test_report_md","",""
"","0","test_compute_velocity_custom_field_and_statuses","tests.unit","Wed May 13 15:55:58 UTC 2026","passed","Wed May 13 15:55:58 UTC 2026","","test_metrics","",""
"","0","test_ai_trend_ai_labeled_done_issues","tests.unit","Wed May 13 15:55:58 UTC 2026","passed","Wed May 13 15:55:58 UTC 2026","","test_metrics","",""
"POST with a fresh schema_name inserts and returns updated:false.","2","test_post_schema_creates_new_entry","tests.component","Wed May 13 15:56:23 UTC 2026","passed","Wed May 13 15:56:23 UTC 2026","","test_server","",""
"","0","test_sprint_issue_details_excluded_flag","tests.unit","Wed May 13 15:55:58 UTC 2026","passed","Wed May 13 15:55:58 UTC 2026","","test_metrics","",""
"Eye button toggles token input between password and text.","228","test_token_show_hide_toggle[chromium]","tests.e2e","Wed May 13 16:01:05 UTC 2026","passed","Wed May 13 16:01:05 UTC 2026","","test_e2e_ui","",""
"jira_client returns sprints newest-first; dedup must still attribute to the most recent sprint.","1","test_dedup_newest_first_input_still_keeps_issue_in_most_recent","tests.unit","Wed May 13 15:55:58 UTC 2026","passed","Wed May 13 15:55:58 UTC 2026","","test_metrics","",""
"POST with missing in_progress_statuses returns 400.","6","test_post_schema_requires_status_mapping_lists","tests.unit","Wed May 13 15:55:59 UTC 2026","passed","Wed May 13 15:55:59 UTC 2026","","test_server_handlers","",""
"POST every supported field, then GET and verify each one.

        AI labels are intentionally excluded — they live per-filter in
        config/jira_filters.json, not in the global config endpoint.
        ","2","test_round_trip_all_fields","tests.component","Wed May 13 15:56:39 UTC 2026","passed","Wed May 13 15:56:39 UTC 2026","TestPostConfig","test_server_config","",""
"","1","test_fetch_cert_happy_path","tests.integration","Wed May 13 15:56:04 UTC 2026","passed","Wed May 13 15:56:04 UTC 2026","","test_fetch_ssl_cert","",""
"","28","test_estimation_type_shown_in_header","tests.component","Wed May 13 15:56:05 UTC 2026","passed","Wed May 13 15:56:05 UTC 2026","","test_report_html","",""
"Clicking the second radio card adds 'selected' only to that card.","95","test_radio_card_click_marks_it_selected[chromium]","tests.e2e","Wed May 13 16:00:32 UTC 2026","passed","Wed May 13 16:00:32 UTC 2026","","test_dau_survey_ui","",""
"","0","test_load_dau_records_empty_dir","tests.unit","Wed May 13 15:55:57 UTC 2026","passed","Wed May 13 15:55:57 UTC 2026","","test_dau_metrics","",""
"After Save, field values are stored in localStorage.","397","test_save_persists_values_to_localstorage[chromium]","tests.e2e","Wed May 13 16:00:47 UTC 2026","passed","Wed May 13 16:00:47 UTC 2026","","test_e2e_connection","",""
"T-08: usagePieLabels must not corrupt DAU trend, and DAU trend must not corrupt pies.","27","test_t08_ai_usage_plus_dau_trend","tests.component","Wed May 13 15:56:04 UTC 2026","passed","Wed May 13 15:56:04 UTC 2026","","test_cross_section_chart_labels","",""
"_serve_file must suppress all _CLIENT_DISCONNECT exceptions during write.","5","test_serve_file_catches_client_disconnect[ConnectionResetError]","tests.unit","Wed May 13 15:55:59 UTC 2026","passed","Wed May 13 15:55:59 UTC 2026","","test_server_handlers","",""
