"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"jira_client returns sprints newest-first; dedup must still attribute to the most recent sprint.","1","test_dedup_newest_first_input_still_keeps_issue_in_most_recent","tests.unit","Mon Apr 27 14:28:00 UTC 2026","passed","Mon Apr 27 14:28:00 UTC 2026","","test_metrics","",""
"","0","test_setup_logging_log_filename_matches_pattern","tests.unit","Mon Apr 27 14:28:00 UTC 2026","passed","Mon Apr 27 14:28:00 UTC 2026","","test_logging_setup","",""
"","0","test_is_done[In Progress-False]","tests.unit","Mon Apr 27 14:28:00 UTC 2026","passed","Mon Apr 27 14:28:00 UTC 2026","","test_metrics","",""
"A token value that contains '=' characters must be stored verbatim.","1","test_token_with_equals_in_value","tests.component","Mon Apr 27 14:28:19 UTC 2026","passed","Mon Apr 27 14:28:19 UTC 2026","TestWriteEnvFields","test_server_config","",""
"","9","test_get_schema_detail_returns_saved_schema_json","tests.unit","Mon Apr 27 14:28:00 UTC 2026","passed","Mon Apr 27 14:28:00 UTC 2026","","test_server_handlers","",""
"","5","test_build_metrics_dict_includes_dau_key","tests.unit","Mon Apr 27 14:27:59 UTC 2026","passed","Mon Apr 27 14:27:59 UTC 2026","","test_dau_metrics","",""
"Clicking Filter tab shows its panel and hides others.","178","test_click_filter_tab[chromium]","tests.e2e","Mon Apr 27 14:28:48 UTC 2026","passed","Mon Apr 27 14:28:48 UTC 2026","","test_e2e_ui","",""
"","1","test_main_returns_1_when_config_invalid","tests.unit","Mon Apr 27 14:27:59 UTC 2026","passed","Mon Apr 27 14:27:59 UTC 2026","","test_cli","",""
"'New Schema' → edit → Save persists and the new name appears in the dropdown.","361","test_schema_save_round_trip[chromium]","tests.e2e","Mon Apr 27 14:28:45 UTC 2026","passed","Mon Apr 27 14:28:46 UTC 2026","","test_e2e_schema_ui","",""
"","9","test_handle_test_connection_returns_user_details_on_success","tests.unit","Mon Apr 27 14:28:00 UTC 2026","passed","Mon Apr 27 14:28:00 UTC 2026","","test_server_handlers","",""
"","1","test_get_story_points_with_custom_field","tests.unit","Mon Apr 27 14:28:00 UTC 2026","passed","Mon Apr 27 14:28:00 UTC 2026","","test_metrics","",""
"","1","test_line_without_equals_skipped","tests.component","Mon Apr 27 14:28:23 UTC 2026","passed","Mon Apr 27 14:28:23 UTC 2026","TestGetConfig","test_server_config","",""
"","1","test_fetch_cert_parses_custom_port","tests.integration","Mon Apr 27 14:28:05 UTC 2026","passed","Mon Apr 27 14:28:05 UTC 2026","","test_fetch_ssl_cert","",""
