"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_test_connection_missing_fields","tests.component","Tue Apr 28 13:34:58 UTC 2026","passed","Tue Apr 28 13:34:58 UTC 2026","","test_server","",""
"Metric toggle state persists across page reloads via localStorage (RG-MT-005).","1085","test_metric_toggles_persist_in_localstorage[chromium]","tests.e2e","Tue Apr 28 13:35:56 UTC 2026","passed","Tue Apr 28 13:35:57 UTC 2026","","test_e2e_ui","",""
"","1","test_build_metrics_dict_generated_at_is_iso","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"","1","test_appends_missing_key","tests.component","Tue Apr 28 13:35:14 UTC 2026","passed","Tue Apr 28 13:35:14 UTC 2026","TestWriteEnvFields","test_server_config","",""
"Selecting a filter from #filter-name-select populates the form with its params.","199","test_selecting_existing_filter_loads_form[chromium]","tests.e2e","Tue Apr 28 13:35:31 UTC 2026","passed","Tue Apr 28 13:35:31 UTC 2026","","test_e2e_filters","",""
"POST with no top-level 'schema' returns 400.","1","test_post_schema_missing_schema_key","tests.component","Tue Apr 28 13:35:09 UTC 2026","passed","Tue Apr 28 13:35:09 UTC 2026","","test_server","",""
"","0","test_get_field_id","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_schema","",""
"","1","test_empty_dir_returns_zero_count","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_metrics","",""
"Badge shows 'No certificate' (neutral) when /api/cert-status returns exists=false.","173","test_cert_badge_shows_no_certificate_when_no_cert[chromium]","tests.e2e","Tue Apr 28 13:35:23 UTC 2026","passed","Tue Apr 28 13:35:23 UTC 2026","","test_e2e_connection","",""
"Unknown keys in the POST body must not be written to .env.","1","test_post_config_ignores_unknown_keys","tests.component","Tue Apr 28 13:35:26 UTC 2026","passed","Tue Apr 28 13:35:26 UTC 2026","TestPostConfig","test_server_config","",""
"","0","test_ai_usage_empty_labels","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"Empty/None config values must not cause errors.","0","test_sanitise_error_handles_none_config_values","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_jira_client","",""
"POST then GET should reflect saved values (token masked).","2","test_round_trip_url_email_token","tests.component","Tue Apr 28 13:35:23 UTC 2026","passed","Tue Apr 28 13:35:23 UTC 2026","TestPostConfig","test_server_config","",""
"The Default_Jira_Filter list item does not contain a Remove button.","174","test_default_filter_has_no_remove_button[chromium]","tests.e2e","Tue Apr 28 13:35:29 UTC 2026","passed","Tue Apr 28 13:35:29 UTC 2026","","test_e2e_filters","",""
"GET /api/filters returns the default filter as the first entry.","1","test_get_filters_default_is_first","tests.component","Tue Apr 28 13:35:29 UTC 2026","passed","Tue Apr 28 13:35:29 UTC 2026","","test_server_filters","",""
"When resolutiondate is set it takes priority over updated for week grouping.","1","test_fetch_kanban_data_prefers_resolutiondate_over_updated","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_jira_client","",""
"Mirror of the bug fix: when the active sprint IS in the fetch
    (JIRA_CLOSED_SPRINTS_ONLY=False), the ticket lands in the active sprint.","0","test_dedup_keeps_issue_in_active_sprint_when_fetched","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"","0","test_get_in_progress_statuses_defaults","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_schema","",""
"","0","test_get_filter_jql_api_error","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_jira_client","",""
"","2","test_board_id_non_numeric","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_config","",""
"","2","test_star_token_not_overwritten","tests.component","Tue Apr 28 13:35:20 UTC 2026","passed","Tue Apr 28 13:35:20 UTC 2026","TestPostConfig","test_server_config","",""
"","1","test_all_not_used_avg_is_zero","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_metrics","",""
"","1","test_load_dau_records_reads_from_subdirectory","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_metrics","",""
"","0","test_get_story_points_non_numeric_string","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"","29","test_date_present","tests.component","Tue Apr 28 13:34:54 UTC 2026","passed","Tue Apr 28 13:34:54 UTC 2026","","test_report_html","",""
"Save button stays disabled when Test Connection returns an error.","341","test_save_remains_disabled_after_failed_test_connection[chromium]","tests.e2e","Tue Apr 28 13:35:16 UTC 2026","passed","Tue Apr 28 13:35:16 UTC 2026","","test_e2e_connection","",""
"POST with fields not being an object returns 400.","7","test_post_schema_requires_dict_fields","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_server_handlers","",""
"","219","test_test_connection_valid_creds","tests.component","Tue Apr 28 13:34:58 UTC 2026","passed","Tue Apr 28 13:34:59 UTC 2026","","test_server","",""
"","0","test_import_app_config","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_imports","",""
"","0","test_compact_timestamp_midnight","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_normalizer","",""
"Deleting a filter leaves its data/dau/<slug>/ folder intact.","15","test_delete_filter_does_not_remove_dau_data","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_filter_handlers","",""
"","1","test_crlf_file_does_not_crash","tests.component","Tue Apr 28 13:35:14 UTC 2026","passed","Tue Apr 28 13:35:14 UTC 2026","TestWriteEnvFields","test_server_config","",""
"","29","test_sprint_name_present","tests.component","Tue Apr 28 13:34:54 UTC 2026","passed","Tue Apr 28 13:34:54 UTC 2026","","test_report_html","",""
"Eye button toggles token input between password and text.","236","test_token_show_hide_toggle[chromium]","tests.e2e","Tue Apr 28 13:35:38 UTC 2026","passed","Tue Apr 28 13:35:39 UTC 2026","","test_e2e_ui","",""
"","7","test_read_env_credentials_reads_values_from_env_file","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_server_handlers","",""
"","7","test_handle_generate_emits_error_when_main_file_missing","tests.unit","Tue Apr 28 13:34:58 UTC 2026","passed","Tue Apr 28 13:34:58 UTC 2026","","test_server_handlers","",""
"Files not matching dau_*.json should not be read.","0","test_non_dau_files_are_ignored","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_metrics","",""
"When report_name is omitted, it defaults to the filter name.","2","test_post_filter_report_name_defaults_to_filter_name","tests.component","Tue Apr 28 13:35:35 UTC 2026","passed","Tue Apr 28 13:35:35 UTC 2026","","test_server_filters","",""
"Non-AbortError from showDirectoryPicker silently falls back to download (DAU-F-013).","158","test_fs_api_non_abort_error_falls_back_to_download[chromium]","tests.e2e","Tue Apr 28 13:35:10 UTC 2026","passed","Tue Apr 28 13:35:10 UTC 2026","","test_dau_survey_ui","",""
"DELETE /api/filters/default_jira_filter returns ok=False.","1","test_delete_default_filter_returns_error","tests.component","Tue Apr 28 13:35:30 UTC 2026","passed","Tue Apr 28 13:35:30 UTC 2026","","test_server_filters","",""
"","7","test_get_schema_detail_returns_saved_schema_json","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_server_handlers","",""
"","29","test_html_dau_section_absent_when_no_responses","tests.component","Tue Apr 28 13:34:54 UTC 2026","passed","Tue Apr 28 13:34:54 UTC 2026","","test_dau_report","",""
"","0","test_get_schema_not_found","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_schema","",""
"","1","test_main_returns_1_when_fetch_sprint_data_fails","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_cli","",""
"Save button becomes enabled after all fields filled and Test Connection succeeds.","344","test_save_enabled_after_successful_test_connection[chromium]","tests.e2e","Tue Apr 28 13:35:16 UTC 2026","passed","Tue Apr 28 13:35:16 UTC 2026","","test_e2e_connection","",""
"","0","test_estimation_type_shown_in_md_header","tests.component","Tue Apr 28 13:34:55 UTC 2026","passed","Tue Apr 28 13:34:55 UTC 2026","","test_report_md","",""
"main() must use ThreadPoolExecutor(max_workers=2) for parallel report generation.","1","test_main_generates_reports_in_parallel","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_cli","",""
"Two responses from same user in same week → response_count is 1, latest score used.","1","test_compute_dau_metrics_dedup_applied","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_metrics","",""
"DELETE /api/schemas without ?name= returns 400.","0","test_delete_schema_no_name_returns_400","tests.component","Tue Apr 28 13:35:12 UTC 2026","passed","Tue Apr 28 13:35:12 UTC 2026","","test_server","",""
"","0","test_get_in_progress_statuses","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_schema","",""
"","0","test_compute_dau_trend_multiple_weeks_sorted","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_metrics","",""
"Both the default filter and a user filter appear in the filter list after page load.","177","test_filter_list_displayed_on_load[chromium]","tests.e2e","Tue Apr 28 13:35:29 UTC 2026","passed","Tue Apr 28 13:35:29 UTC 2026","","test_e2e_filters","",""
