"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_get_unknown_returns_404","tests.component","Wed May 06 12:57:37 UTC 2026","passed","Wed May 06 12:57:37 UTC 2026","","test_server","",""
"POST /api/filters with params.schema_name stores it; GET returns the same value.","3","test_post_filter_round_trip_preserves_schema_name","tests.component","Wed May 06 12:58:14 UTC 2026","passed","Wed May 06 12:58:14 UTC 2026","","test_server_filters","",""
"","1","test_velocity_header_label_jira_tickets","tests.component","Wed May 06 12:57:36 UTC 2026","passed","Wed May 06 12:57:36 UTC 2026","","test_report_md","",""
"","0","test_fetch_cert_exits_on_os_error","tests.integration","Wed May 06 12:57:32 UTC 2026","passed","Wed May 06 12:57:32 UTC 2026","","test_fetch_ssl_cert","",""
"","1","test_ai_trend_fallback_uses_action_labels_when_assisted_label_empty","tests.unit","Wed May 06 12:57:28 UTC 2026","passed","Wed May 06 12:57:28 UTC 2026","","test_metrics","",""
"Progress count advances 1 → 2 → 3 as each field is completed.","87","test_progress_increments_with_each_field[chromium]","tests.e2e","Wed May 06 12:58:28 UTC 2026","passed","Wed May 06 12:58:28 UTC 2026","","test_dau_survey_ui","",""
"Accepts timestamps using the 'Z' suffix (via fromisoformat on Python 3.11+).","0","test_derive_iso_week_zulu_suffix","tests.unit","Wed May 06 12:57:28 UTC 2026","passed","Wed May 06 12:57:28 UTC 2026","","test_dau_normalizer","",""
"","31","test_html_dau_shows_team_avg","tests.component","Wed May 06 12:57:34 UTC 2026","passed","Wed May 06 12:57:34 UTC 2026","","test_dau_report","",""
"","0","test_parse_iso[2026-03-01T10:00:00+00:00-True]","tests.unit","Wed May 06 12:57:28 UTC 2026","passed","Wed May 06 12:57:28 UTC 2026","","test_metrics","",""
"","2","test_env_bool_values[1-True]","tests.unit","Wed May 06 12:57:28 UTC 2026","passed","Wed May 06 12:57:28 UTC 2026","","test_config","",""
"_load_filters() creates config/jira_filters.json with the default when the file is absent.","6","test_load_filters_creates_file_when_missing","tests.unit","Wed May 06 12:57:28 UTC 2026","passed","Wed May 06 12:57:28 UTC 2026","","test_filter_handlers","",""
"","0","test_ai_usage_dedup_across_sprints","tests.unit","Wed May 06 12:57:28 UTC 2026","passed","Wed May 06 12:57:28 UTC 2026","","test_metrics","",""
"Estimation type selection persists across page reloads via localStorage (RG-ET-004).","601","test_estimation_type_persists_in_localstorage[chromium]","tests.e2e","Wed May 06 12:59:18 UTC 2026","passed","Wed May 06 12:59:18 UTC 2026","","test_e2e_ui","",""
